FID,UnitName,PointName,Latitude,Longitude,SegmentL,SDate,Visit,SpeciesCod,SAgeID,PassCount1,PassCount2,PassCount3,Depth1,Depth2,Depth3,WaterPrese,SiltClay,Sand,Gravel,Pebble,Cobble,Boulder,Bedrock,Artificial,Detritus,LengthPool,LengthRun,LengthRiff,Width1,Width2,Width3,FishPresen,CrayfishPr,pH,Conductivi,WaterTemp,StartAirTe,StartWater,DDMLatLon,ORIG_OID,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
2799,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,6/2/2010 0:00:00,1,DFUS,larva,3,3,NULL,5.5,5,3,Y,25,14,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL,NULL,100,120,63,31,U,U,7.52,-99,NULL,25.6,16.1,38 58.64285993N 077 02.61152989W,2799,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2800,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/1/2010 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,4.5,3,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53,NULL,15,NULL,50,25,60,N,N,NULL,-99,NULL,23.2,17.8,38 58.64285993N 077 02.61152989W,2800,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2801,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,6/21/2012 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,-99,-99,38 58.64285993N 077 02.61152989W,2801,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2802,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/29/2013 0:00:00,1,EBIS,adult,1,0,1,3.8,1.2,6.5,Y,6,4,13,14,NULL,NULL,NULL,NULL,63,0,6,9,60,45,162,N,Y,5.3,58,NULL,23,16.7,38 58.64285993N 077 02.61152989W,2802,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2803,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/29/2013 0:00:00,1,EBIS,larva,5,3,5,3.8,1.2,6.5,Y,6,4,13,14,NULL,NULL,NULL,NULL,63,0,6,9,60,45,162,N,Y,5.3,58,NULL,23,16.7,38 58.64285993N 077 02.61152989W,2803,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2804,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,8/6/2013 0:00:00,2,EBIS,juvenile,0,1,0,1.5,2,5,Y,10,11,7,1,6,NULL,NULL,NULL,59,1,4,10,44,61,22,N,N,6.1,57,NULL,21.1,15.5,38 58.64285993N 077 02.61152989W,2804,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2805,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,8/6/2013 0:00:00,2,EBIS,larva,5,3,6,1.5,2,5,Y,10,11,7,1,6,NULL,NULL,NULL,59,1,4,10,44,61,22,N,N,6.1,57,NULL,21.1,15.5,38 58.64285993N 077 02.61152989W,2805,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2806,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,6/17/2014 0:00:00,1,EBIS,larva,7,13,3,4.4,5,6.3,Y,9,24,1,21,NULL,NULL,NULL,NULL,45,0,1,14,92,48,47,N,Y,7.3,62,NULL,28.6,16.3,38 58.64285993N 077 02.61152989W,2806,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2807,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,6/17/2014 0:00:00,1,EBIS,adult,0,0,1,4.4,5,6.3,Y,9,24,1,21,NULL,NULL,NULL,NULL,45,0,1,14,92,48,47,N,Y,7.3,62,NULL,28.6,16.3,38 58.64285993N 077 02.61152989W,2807,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2808,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,6/17/2014 0:00:00,1,DFUS,juvenile,2,0,1,4.4,5,6.3,Y,9,24,1,21,NULL,NULL,NULL,NULL,45,0,1,14,92,48,47,N,Y,7.3,62,NULL,28.6,16.3,38 58.64285993N 077 02.61152989W,2808,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2809,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/24/2014 0:00:00,2,EBIS,larva,5,12,3,5,3,2.5,Y,25,7,31,4,8,NULL,NULL,NULL,25,1,1,13,110,40,36,N,Y,7,63,NULL,23,16.7,38 58.64285993N 077 02.61152989W,2809,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2810,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/24/2014 0:00:00,2,DFUS,juvenile,1,1,0,5,3,2.5,Y,25,7,31,4,8,NULL,NULL,NULL,25,1,1,13,110,40,36,N,Y,7,63,NULL,23,16.7,38 58.64285993N 077 02.61152989W,2810,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2811,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/1/2015 0:00:00,1,EBIS,larva,25,11,15,4,3,4,Y,NULL,28,NULL,23,11,21,NULL,NULL,17,2,12,1,46,48,38,N,Y,7.2,78,NULL,24.6,16.3,38 58.64285993N 077 02.61152989W,2811,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2812,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/1/2015 0:00:00,1,EBIS,adult,2,3,0,4,3,4,Y,NULL,28,NULL,23,11,21,NULL,NULL,17,2,12,1,46,48,38,N,Y,7.2,78,NULL,24.6,16.3,38 58.64285993N 077 02.61152989W,2812,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2813,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/1/2015 0:00:00,1,DFUS,juvenile,1,0,0,4,3,4,Y,NULL,28,NULL,23,11,21,NULL,NULL,17,2,12,1,46,48,38,N,Y,7.2,78,NULL,24.6,16.3,38 58.64285993N 077 02.61152989W,2813,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2814,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/1/2015 0:00:00,1,EBIS,recently metamorphosed,1,1,0,4,3,4,Y,NULL,28,NULL,23,11,21,NULL,NULL,17,2,12,1,46,48,38,N,Y,7.2,78,NULL,24.6,16.3,38 58.64285993N 077 02.61152989W,2814,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2815,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,6/22/2016 0:00:00,1,EBIS,juvenile,2,2,0,0.4,0.5,4.8,Y,NULL,4,22,19,2,6,1,NULL,46,1,3,8,53,6,59,N,Y,6.6,89,NULL,21.5,16.3,38 58.64285993N 077 02.61152989W,2815,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2816,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,6/22/2016 0:00:00,1,EBIS,larva,11,16,7,0.4,0.5,4.8,Y,NULL,4,22,19,2,6,1,NULL,46,1,3,8,53,6,59,N,Y,6.6,89,NULL,21.5,16.3,38 58.64285993N 077 02.61152989W,2816,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2817,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,6/22/2016 0:00:00,1,DFUS,juvenile,1,2,4,0.4,0.5,4.8,Y,NULL,4,22,19,2,6,1,NULL,46,1,3,8,53,6,59,N,Y,6.6,89,NULL,21.5,16.3,38 58.64285993N 077 02.61152989W,2817,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2818,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,6/22/2016 0:00:00,1,DFUS,adult,0,2,1,0.4,0.5,4.8,Y,NULL,4,22,19,2,6,1,NULL,46,1,3,8,53,6,59,N,Y,6.6,89,NULL,21.5,16.3,38 58.64285993N 077 02.61152989W,2818,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2819,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,6/22/2016 0:00:00,1,EBIS,adult,0,2,0,0.4,0.5,4.8,Y,NULL,4,22,19,2,6,1,NULL,46,1,3,8,53,6,59,N,Y,6.6,89,NULL,21.5,16.3,38 58.64285993N 077 02.61152989W,2819,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2820,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/15/2016 0:00:00,2,EBIS,larva,19,10,1,0,2.6,2.3,Y,17,10,23,8,3,NULL,NULL,NULL,39,1,6,1,0,43,41,N,Y,6.9,80,NULL,26,18.4,38 58.64285993N 077 02.61152989W,2820,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2821,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/15/2016 0:00:00,2,DFUS,adult,1,4,1,0,2.6,2.3,Y,17,10,23,8,3,NULL,NULL,NULL,39,1,6,1,0,43,41,N,Y,6.9,80,NULL,26,18.4,38 58.64285993N 077 02.61152989W,2821,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2822,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/15/2016 0:00:00,2,DFUS,juvenile,0,3,2,0,2.6,2.3,Y,17,10,23,8,3,NULL,NULL,NULL,39,1,6,1,0,43,41,N,Y,6.9,80,NULL,26,18.4,38 58.64285993N 077 02.61152989W,2822,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2823,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/15/2016 0:00:00,2,EBIS,adult,0,1,0,0,2.6,2.3,Y,17,10,23,8,3,NULL,NULL,NULL,39,1,6,1,0,43,41,N,Y,6.9,80,NULL,26,18.4,38 58.64285993N 077 02.61152989W,2823,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2824,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/15/2016 0:00:00,2,EBIS,juvenile,0,0,1,0,2.6,2.3,Y,17,10,23,8,3,NULL,NULL,NULL,39,1,6,1,0,43,41,N,Y,6.9,80,NULL,26,18.4,38 58.64285993N 077 02.61152989W,2824,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2825,Rock Creek National Park,Riley Spring 2-3,38.977388800000000,-77.043527800000007,15m,7/24/2017 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,N,N,NULL,NULL,NULL,25.6,-99,38 58.64285993N 077 02.61152989W,2825,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2826,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,6/24/2005 0:00:00,1,EBIS,adult,1,NULL,NULL,4,3,3,Y,25,23,3,NULL,NULL,NULL,NULL,NULL,48,3,4,8,42,59,79,N,U,6.68,31,NULL,23.5,16.1,38 58.64285993N 077 02.61152989W,2826,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2827,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/20/2005 0:00:00,2,EBIS,larva,2,NULL,NULL,6.5,3.5,4,Y,27,24,27,NULL,NULL,NULL,NULL,NULL,23,1,10,4,105,50,65,N,U,6.39,53,NULL,27.3,17.8,38 58.64285993N 077 02.61152989W,2827,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2828,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,6/7/2006 0:00:00,5,EBIS,adult,0,1,NULL,1,2,1.5,Y,13,NULL,NULL,3,NULL,NULL,NULL,NULL,84,11,3,1,110,80,50,Y,N,5.76,60,NULL,24.6,16.3,38 58.64285993N 077 02.61152989W,2828,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2829,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,6/7/2006 0:00:00,5,EBIS,larva,3,7,NULL,1,2,1.5,Y,13,NULL,NULL,3,NULL,NULL,NULL,NULL,84,11,3,1,110,80,50,Y,N,5.76,60,NULL,24.6,16.3,38 58.64285993N 077 02.61152989W,2829,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2830,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/24/2006 0:00:00,6,EBIS,larva,3,1,NULL,2.5,4.4,1.8,Y,25,NULL,25,NULL,NULL,NULL,NULL,NULL,50,1,4,10,46,39,19,N,Y,5.12,56,NULL,23.8,18.4,38 58.64285993N 077 02.61152989W,2830,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2831,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/24/2006 0:00:00,6,EBIS,adult,1,0,NULL,2.5,4.4,1.8,Y,25,NULL,25,NULL,NULL,NULL,NULL,NULL,50,1,4,10,46,39,19,N,Y,5.12,56,NULL,23.8,18.4,38 58.64285993N 077 02.61152989W,2831,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2832,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/24/2006 0:00:00,6,DFUS,adult,0,0,NULL,2.5,4.4,1.8,Y,25,NULL,25,NULL,NULL,NULL,NULL,NULL,50,1,4,10,46,39,19,N,Y,5.12,56,NULL,23.8,18.4,38 58.64285993N 077 02.61152989W,2832,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2833,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,6/7/2007 0:00:00,7,EBIS,larva,6,3,NULL,5,7.5,6,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,11,3,1,88,65,90,N,Y,6.03,55,NULL,21.1,15.5,38 58.64285993N 077 02.61152989W,2833,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2834,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/12/2007 0:00:00,8,EBIS,larva,4,1,NULL,1.5,4,2,Y,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,96,4,9,2,29,56,37,N,Y,5.82,158,NULL,20.6,16.5,38 58.64285993N 077 02.61152989W,2834,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2835,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,6/4/2008 0:00:00,1,NULL,NULL,NULL,NULL,NULL,6,6,5,Y,NULL,8,NULL,12,NULL,NULL,NULL,NULL,80,5,0,10,54,56,35,N,N,5.99,51,NULL,20.4,14.7,38 58.64285993N 077 02.61152989W,2835,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2836,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/3/2008 0:00:00,2,NULL,NULL,NULL,NULL,NULL,3,4,3,Y,4,NULL,NULL,NULL,NULL,3,NULL,NULL,92,6,8,0,35,65,55,N,N,5.93,91,NULL,24.6,18,38 58.64285993N 077 02.61152989W,2836,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2837,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,6/2/2009 0:00:00,1,EBIS,larva,1,1,NULL,1.5,0,4,Y,13,4,13,NULL,NULL,NULL,NULL,NULL,69,2,2,10,41,0,45,N,Y,5.91,52,NULL,25,16.8,38 58.64285993N 077 02.61152989W,2837,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2838,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/1/2009 0:00:00,2,EBIS,larva,0,3,NULL,2,4,3,Y,NULL,24,27,NULL,NULL,NULL,NULL,NULL,49,0,5,10,27,28,8,N,N,5.86,59,NULL,22.1,17.5,38 58.64285993N 077 02.61152989W,2838,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2839,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,6/2/2010 0:00:00,1,NULL,NULL,NULL,NULL,NULL,5,2.8,4,Y,17,36,4,3,NULL,NULL,NULL,NULL,40,NULL,5,10,24,150,30,N,N,7.52,-99,NULL,25.6,16.1,38 58.64285993N 077 02.61152989W,2839,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2840,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/1/2010 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,2,2,Y,32,NULL,4,5,7,NULL,NULL,NULL,52,NULL,10,NULL,73,150,90,N,N,NULL,-99,NULL,23.2,17.8,38 58.64285993N 077 02.61152989W,2840,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2841,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,6/21/2012 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,-99,-99,38 58.64285993N 077 02.61152989W,2841,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2842,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/29/2013 0:00:00,1,NULL,NULL,NULL,NULL,NULL,6.5,3.5,1.5,Y,33,6,14,3,NULL,NULL,NULL,NULL,44,0,8,7,162,31,30,N,N,5.3,58,NULL,23,16.7,38 58.64285993N 077 02.61152989W,2842,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2843,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,8/6/2013 0:00:00,2,EBIS,larva,2,3,1,5,3,1.8,Y,7,11,4,1,1,NULL,NULL,NULL,49,1,5,9,22,13,35,N,Y,6.1,57,NULL,21.1,15.5,38 58.64285993N 077 02.61152989W,2843,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2844,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,6/17/2014 0:00:00,1,EBIS,larva,5,1,0,5.1,4,5.6,Y,5,28,13,8,4,NULL,NULL,NULL,42,0,2,13,35,75,49,N,Y,7.3,62,NULL,28.6,16.3,38 58.64285993N 077 02.61152989W,2844,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2845,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/24/2014 0:00:00,2,EBIS,larva,20,13,11,4.7,2.8,2,Y,42,35,3,NULL,NULL,NULL,NULL,NULL,20,0,4,11,50,55,60,N,Y,7,63,NULL,23,16.7,38 58.64285993N 077 02.61152989W,2845,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2846,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/24/2014 0:00:00,2,EBIS,juvenile,3,0,0,4.7,2.8,2,Y,42,35,3,NULL,NULL,NULL,NULL,NULL,20,0,4,11,50,55,60,N,Y,7,63,NULL,23,16.7,38 58.64285993N 077 02.61152989W,2846,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2847,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/24/2014 0:00:00,2,DFUS,juvenile,3,2,1,4.7,2.8,2,Y,42,35,3,NULL,NULL,NULL,NULL,NULL,20,0,4,11,50,55,60,N,Y,7,63,NULL,23,16.7,38 58.64285993N 077 02.61152989W,2847,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2848,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/24/2014 0:00:00,2,DFUS,adult,2,0,0,4.7,2.8,2,Y,42,35,3,NULL,NULL,NULL,NULL,NULL,20,0,4,11,50,55,60,N,Y,7,63,NULL,23,16.7,38 58.64285993N 077 02.61152989W,2848,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2849,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/1/2015 0:00:00,1,EBIS,larva,11,4,8,3.5,10,7,Y,29,12,NULL,24,5,6,NULL,NULL,22,0,10,5,40,47,49,N,Y,7.2,78,NULL,24.6,16.3,38 58.64285993N 077 02.61152989W,2849,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2850,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/1/2015 0:00:00,1,EBIS,juvenile,0,1,0,3.5,10,7,Y,29,12,NULL,24,5,6,NULL,NULL,22,0,10,5,40,47,49,N,Y,7.2,78,NULL,24.6,16.3,38 58.64285993N 077 02.61152989W,2850,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2851,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/1/2015 0:00:00,1,DFUS,adult,1,3,0,3.5,10,7,Y,29,12,NULL,24,5,6,NULL,NULL,22,0,10,5,40,47,49,N,Y,7.2,78,NULL,24.6,16.3,38 58.64285993N 077 02.61152989W,2851,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2852,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/1/2015 0:00:00,1,EBIS,adult,0,1,0,3.5,10,7,Y,29,12,NULL,24,5,6,NULL,NULL,22,0,10,5,40,47,49,N,Y,7.2,78,NULL,24.6,16.3,38 58.64285993N 077 02.61152989W,2852,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2853,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,6/22/2016 0:00:00,1,DFUS,adult,3,3,0,3,2.5,1.4,Y,7,36,23,NULL,1,NULL,NULL,NULL,26,1,3,9,110,25,39,N,Y,6.6,89,NULL,25.4,16.3,38 58.64285993N 077 02.61152989W,2853,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2854,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,6/22/2016 0:00:00,1,EBIS,larva,10,10,8,3,2.5,1.4,Y,7,36,23,NULL,1,NULL,NULL,NULL,26,1,3,9,110,25,39,N,Y,6.6,89,NULL,25.4,16.3,38 58.64285993N 077 02.61152989W,2854,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2855,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/15/2016 0:00:00,2,DFUS,adult,1,0,0,2.7,2.2,4.1,Y,17,22,7,1,NULL,NULL,2,NULL,41,0,4,11,60,22,52,N,Y,6.9,80,NULL,26,18.4,38 58.64285993N 077 02.61152989W,2855,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2856,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/15/2016 0:00:00,2,EBIS,adult,2,1,0,2.7,2.2,4.1,Y,17,22,7,1,NULL,NULL,2,NULL,41,0,4,11,60,22,52,N,Y,6.9,80,NULL,26,18.4,38 58.64285993N 077 02.61152989W,2856,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2857,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/15/2016 0:00:00,2,EBIS,larva,0,1,3,2.7,2.2,4.1,Y,17,22,7,1,NULL,NULL,2,NULL,41,0,4,11,60,22,52,N,Y,6.9,80,NULL,26,18.4,38 58.64285993N 077 02.61152989W,2857,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2858,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/24/2017 0:00:00,1,EBIS,adult,1,0,0,0,0,0,Y,0,27,1,1,0,0,0,0,57,1,0,0,0,0,0,N,Y,6.4,203,NULL,25.6,23,38 58.64285993N 077 02.61152989W,2858,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2859,Rock Creek National Park,Riley Spring 2-4,38.977388800000000,-77.043527800000007,15m,7/24/2017 0:00:00,1,EBIS,larva,0,1,0,0,0,0,Y,0,27,1,1,0,0,0,0,57,1,0,0,0,0,0,N,Y,6.4,203,NULL,25.6,23,38 58.64285993N 077 02.61152989W,2859,104873,0.000764162788398,-77.043133393800005,38.978036894299997
2860,Rock Creek National Park,West Spring-1,38.954444400000000,-77.053333300000006,15m,6/24/2005 0:00:00,1,DFUS,adult,0,0,0,1,3.5,4,Y,NULL,15,NULL,NULL,23,NULL,NULL,NULL,63,2,5,8,84,118,67,N,N,6.5,504,NULL,26.6,14.4,38 57.26619622N 077 03.19985979W,2860,105540,0.002224627052090,-77.055158930999994,38.953168683800001
2861,Rock Creek National Park,West Spring-1,38.954444400000000,-77.053333300000006,15m,6/24/2005 0:00:00,1,PRUB,adult,0,1,0,1,3.5,4,Y,NULL,15,NULL,NULL,23,NULL,NULL,NULL,63,2,5,8,84,118,67,N,N,6.5,504,NULL,26.6,14.4,38 57.26619622N 077 03.19985979W,2861,105540,0.002224627052090,-77.055158930999994,38.953168683800001
2862,Rock Creek National Park,West Spring-1,38.954444400000000,-77.053333300000006,15m,6/24/2005 0:00:00,1,PRUB,larva,0,1,0,1,3.5,4,Y,NULL,15,NULL,NULL,23,NULL,NULL,NULL,63,2,5,8,84,118,67,N,N,6.5,504,NULL,26.6,14.4,38 57.26619622N 077 03.19985979W,2862,105540,0.002224627052090,-77.055158930999994,38.953168683800001
2863,Rock Creek National Park,West Spring-1,38.954444400000000,-77.053333300000006,15m,6/24/2005 0:00:00,1,EBIS,adult,0,1,0,1,3.5,4,Y,NULL,15,NULL,NULL,23,NULL,NULL,NULL,63,2,5,8,84,118,67,N,N,6.5,504,NULL,26.6,14.4,38 57.26619622N 077 03.19985979W,2863,105540,0.002224627052090,-77.055158930999994,38.953168683800001
2864,Rock Creek National Park,West Spring-1,38.954444400000000,-77.053333300000006,15m,7/21/2005 0:00:00,2,DFUS,adult,2,NULL,NULL,2,2.5,3,Y,1,NULL,NULL,NULL,29,NULL,NULL,NULL,69,1,12,2,35,83,62,N,N,5.54,497,NULL,25.8,13,38 57.26619622N 077 03.19985979W,2864,105540,0.002224627052090,-77.055158930999994,38.953168683800001
2865,Rock Creek National Park,West Spring-1,38.954444400000000,-77.053333300000006,15m,6/7/2006 0:00:00,5,DFUS,adult,2,1,0,0.5,2,3.5,Y,NULL,1,NULL,NULL,40,NULL,NULL,NULL,59,1,3,11,30,150,50,N,Y,5.51,557,NULL,22.8,12.5,38 57.26619622N 077 03.19985979W,2865,105540,0.002224627052090,-77.055158930999994,38.953168683800001
2866,Rock Creek National Park,West Spring-1,38.954444400000000,-77.053333300000006,15m,6/7/2006 0:00:00,5,EBIS,adult,0,1,0,0.5,2,3.5,Y,NULL,1,NULL,NULL,40,NULL,NULL,NULL,59,1,3,11,30,150,50,N,Y,5.51,557,NULL,22.8,12.5,38 57.26619622N 077 03.19985979W,2866,105540,0.002224627052090,-77.055158930999994,38.953168683800001
2867,Rock Creek National Park,West Spring-1,38.954444400000000,-77.053333300000006,15m,6/7/2006 0:00:00,5,PRUB,adult,1,0,0,0.5,2,3.5,Y,NULL,1,NULL,NULL,40,NULL,NULL,NULL,59,1,3,11,30,150,50,N,Y,5.51,557,NULL,22.8,12.5,38 57.26619622N 077 03.19985979W,2867,105540,0.002224627052090,-77.055158930999994,38.953168683800001
